Country Name,Continent,Country Code,Capital City,Latitudeof Capital,Longitudeof Capital,GDP,Industrialproductiongrowthrate,Electricity-production,Electricity-consumption,Electricity-imports,Electricity-installedgeneratingcapacity,Electricity-fromfossilfuels,Electricity-fromnuclearfuels,Electricity-fromhydroelectricplants,Electricity-fromotherrenewablesources,Crudeoil-production,Crudeoil-exports,Crudeoil-imports,Crudeoil-provedreserves,Refinedpetroleumproducts-production,Refinedpetroleumproducts-consumption,Refinedpetroleumproducts-exports,Refinedpetroleumproducts-imports,Naturalgas-production,Naturalgas-consumption,Naturalgas-exports,Naturalgas-imports,Naturalgas-provedreserves,Carbondioxideemissionsfromconsumptionofenergy,Population,Populationgrowthrate,F33,Emission-perperson,F35,Total Renewable Electricity,F37,F38,Restof World,Canada,China,Greenland,Japan,Russia,South Africa,United States,F47,Total Electricity,F49,F50,Country,Energy,Sourced,Country(or dependency),Population(2020),Yearly Change,Net Change,Density Square Km,Land Area Square Km,Migrants(net),FertRate,Med.Age,UrbanPop,World Share,Normalised Population
China,Asia,CN,Beijing,39 55 N,116 23 E,"18,200",6.1,"5,880,000,000,000.00","5,560,000,000,000.00","6,185,000,000","1,653,000,000",62,2,18,18,"3,773,000","57,310","6,710,000","25,630,000,000.00","11,510,000","12,470,000","848,400","1,160,000","146,000,000,000.00","239,000,000,000.00","3,370,000,000.00","97,630,000,000.00","5,440,000,000,000.00","11,670,000,000","1,384,688,986",0.37,null,8.4279,null,38,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,China,"1,440,297,825.00",39,"5,540,090.00",153,"9,388,211.00","-348,399.00",1.7,38,6100,"1,847.00",153.42
India,Asia,IN,New Delhi,28 36 N,77 12 E,"7,200",5.5,"1,390,000,000,000.00","1,140,000,000,000.00","5,617,000,000","367,800,000",71,2,12,16,"709,000",0,"4,057,000","4,495,000,000","4,897,000","4,521,000","1,305,000","653,300","31,540,000,000","55,430,000,000.00","76,450,000","23,960,000,000.00","1,290,000,000,000.00","2,383,000,000","1,296,834,042",1,null,2,null,30,null,null,null,null,null,null,null,null,null,null,null,101,null,null,null,null,null,India,"1,382,345,085",99,"13,586,631.00",464,"2,973,190.00","-532,687.00",2.2,28,3500,"1,770",464.94
United States,North America,US,"Washington, DC",38 53 N,77 02 W,"59,800",2.3,"4,100,000,000,000.00","3,900,000,000,000.00","72,720,000,000","1,087,000,000",70,9,7,14,"10,962,000","1,158,000","7,969,000",null,"20,300,000","19,960,000","5,218,000","2,175,000","773,000,000,000","768,000,000,000.00","89,700,000,000","86,150,000,000.00",0,"5,242,000,000","329,256,465",1,null,16,null,30,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,United States,"331,341,050",59,"1,937,734.00",36,"9,147,420.00","954,806.00",1.8,38,8300,425,36.22
Indonesia,Asia,ID,Jakarta,6 10 S,106 49 E,"12,400",4.1,"235,000,000,000.00","213,000,000,000.00","693,000,000","61,430,000",85,0,9,6,"772,000","302,300","498,500","3,310,000,000","950,000","1,601,000","79,930","591,500","72,090,000,000.00","42,320,000,000.00","29,780,000,000",0,"2,870,000,000,000.00","540,700,000","262,787,403",1,null,2,null,15,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,Indonesia,"274,021,604",107,"2,898,047.00",151,"1,811,570.00","-98,955.00",2.3,30,5600,351,151.26
Pakistan,Asia,PK,Islamabad,33 41 N,73 03 E,"5,400",5.4,"110,000,000,000.00","92,330,000,000.00","490,000,000","26,900,000",62,5,27,7,"90,000","13,150","168,200","332,200,000","291,200","557,000","25,510","264,500","39,050,000,000","45,050,000,000.00",0,"6,003,000,000.00","589,000,000,000.00","179,500,000","207,862,518",1,null,1,null,39,null,null,null,null,null,null,null,null,null,null,null,101,null,null,null,null,null,Pakistan,"221,612,785",200,"4,327,022.00",287,"770,880.00","-233,379.00",3.6,23,3500,283,287.48
Brazil,South America,BR,Brasilia,15 47 S,47 55 W,"15,600",0,"568,000,000,000.00","509,000,000,000.00","41,310,000,000","150,800,000",17,1,64,18,"2,587,000","736,600","297,700","12,630,000,000","2,811,000","2,956,000","279,000","490,400","23,960,000,000","34,350,000,000.00","134,500,000","10,510,000,000.00","377,000,000,000.00","513,800,000","208,846,892",1,null,2,null,83,null,null,null,null,null,null,null,null,null,null,null,100,null,null,Russia,Renewable,0,Brazil,"212,821,986",72,"1,509,890.00",25,"8,358,140.00","21,200.00",1.7,33,8800,273,25.46
Nigeria,Africa,NG,Abuja,9 05 N,7 32 E,"5,900",2.2,"29,350,000,000.00","24,720,000,000.00",0,"10,520,000",80,0,19,0,"1,989,000","2,096,000",0,"37,450,000,000","35,010","325,000","2,332","223,400","44,480,000,000","17,240,000,000.00","27,210,000,000",0,"5,480,000,000,000.00","104,000,000","203,452,505",3,null,1,null,19,null,null,null,null,null,null,null,null,null,null,null,99,null,null,null,null,null,Nigeria,"206,984,347",258,"5,175,990.00",226,"910,770.00","-60,000.00",5.4,18,5200,264,227.26
Bangladesh,Asia,BD,Dhaka,23 43 N,90 24 E,"4,200",10.2,"60,510,000,000.00","53,650,000,000.00",0,"11,900,000",97,0,2,2,"3,000",0,"21,860","28,000,000","26,280","106,000",901,"81,570","29,530,000,000","29,530,000,000.00",0,0,"186,000,000,000.00","79,970,000","159,453,001",1.02,null,1,null,4,null,null,null,null,null,null,null,null,null,null,null,101,null,null,Greenland,Nuclear,0,Bangladesh,"164,972,348",101,"1,643,222.00","1,265.00","130,170.00","-369,501.00",2.1,28,3900,211,"1,267.36"
Russia,Asia,RU,Moscow,55 45 N,37 36 E,"27,900",-1,"1,030,000,000,000.00","910,000,000,000.00","3,194,000,000","244,900,000",68,11,21,1,"10,759,000","4,921,000","76,220","80,000,000,000","6,076,000","3,650,000","2,671,000","41,920","666,000,000,000","468,000,000,000","210,000,000,000","15,770,000,000.00","47,800,000,000,000.00","1,847,000,000","142,122,776",-0.11,null,13,null,33,null,null,null,null,null,null,null,null,null,null,null,101,null,null,null,null,null,Russia,"145,945,524",4,"62,206.00",9,"16,376,870.00","182,456.00",1.8,40,7400,187,8.91
Mexico,North America,MX,Mexico City,19 26 N,99 08 W,"19,900",-0.6,"303,000,000,000.00","259,000,000,000.00","3,532,000,000","72,560,000",71,2,17,9,"1,852,000","1,214,000",0,"6,630,000,000","844,600","1,984,000","155,800","867,500","31,570,000,000","81,610,000,000.00","36,810,000","50,120,000,000.00","280,000,000,000.00","454,100,000","125,959,205",1,null,4,null,28,null,null,null,null,null,null,null,null,null,null,null,99,null,null,null,null,null,Mexico,"129,166,028",106,"1,357,224.00",66,"1,943,950.00","-60,000.00",2.1,29,8400,165,66.45
